Algo,TP,FN,TN,FP,Sensitivity,Specificity,Accuracy
Polyphen,129,0,19,18,1.0,0.5135135135135135,0.891566265060241
Provean,120,9,23,14,0.9302325581395349,0.6216216216216216,0.8614457831325302
SIFT,118,11,22,15,0.9147286821705426,0.5945945945945946,0.8433734939759037
Straight_no_uncert,106,18,25,11,0.8548387096774194,0.6944444444444444,0.81875
Straight_with_uncert,106,23,25,12,0.8217054263565892,0.6756756756756757,0.7891566265060241
Saver,127,2,17,20,0.9844961240310077,0.4594594594594595,0.8674698795180723
