Algo,TP,FN,TN,FP,Sensitivity,Specificity,Accuracy
Polyphen,129,0,19,18,1.0,0.5135135135135135,0.891566265060241
Provean,120,9,23,14,0.9302325581395349,0.6216216216216216,0.8614457831325302
SIFT,118,11,22,15,0.9147286821705426,0.5945945945945946,0.8433734939759037
Straight_no_uncert,86,28,26,9,0.7543859649122807,0.7428571428571429,0.7516778523489933
Straight_with_uncert,86,43,26,11,0.6666666666666666,0.7027027027027027,0.6746987951807228
Saver,127,2,17,20,0.9844961240310077,0.4594594594594595,0.8674698795180723
