Algo,Sensitivity,Specificity,Accuracy,FDR,MCC
Polyphen,1.0,0.5135135135135135,0.891566265060241,0.12244897959183676,0.6712930118637948
Provean_cut-2.5,0.9302325581395349,0.6216216216216216,0.8614457831325302,0.10447761194029848,0.5822274339659832
Provean_cut0.05,0.9147286821705426,0.5945945945945946,0.8433734939759037,0.1127819548872181,0.5311368715817255
Straight_no_uncert,1.0,0.47058823529411764,0.9224137931034483,0.08333333333333337,0.6567895774291853
Straight_with_uncert,0.7674418604651163,0.21621621621621623,0.6445783132530121,0.2265625,-0.016188331992285296
